الأمر,مسار القسم,الفلتر / الحقل,الموجود حاليًا,المطلوب حسب الملف,الملاحظة
حذف فلتر,المركبات > المركبات الكلاسيكية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > المركبات الكهربائية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > تأجير سيارات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > دراجات نارية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > دراجة رباعية الدفع,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > سيارات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > سيارات دفع رباعي وبيك آب,الحمولة,الحمولة,غير مطلوب,فلتر تجاري موجود بقسم سيارات
حذف فلتر,المركبات > سيارات دفع رباعي وبيك آب,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > سيارات دفع رباعي وبيك آب,ميزات تجارية,ميزات تجارية,غير مطلوب,فلتر تجاري موجود بقسم سيارات
حذف فلتر,المركبات > سيارات دفع رباعي وبيك آب,نوع المركبة,نوع المركبة,غير مطلوب,فلتر تجاري موجود بقسم سيارات
حذف فلتر,المركبات > سيارات دفع رباعي وبيك آب,نوع الهيكل,نوع الهيكل,غير مطلوب,فلتر تجاري موجود بقسم سيارات
حذف فلتر,المركبات > مركبات حوادث,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,المركبات > مركبات خدمات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,قطع غيار السيارات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,قطع غيار السيارات > إكسسوارات المركبات البحرية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,قطع غيار السيارات > إكسسوارات دراجات نارية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,قطع غيار السيارات > قطع وإكسسوارات السيارات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > شقة ضمن مجمع سكني,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > منزل مستقل,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > فيلا,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > مزرعة,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > بيت عربي تراثي,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > شاليه على البحر,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > شقة مصيفية على البحر,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > بيت صيفي,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > للبيع > سكن تعاوني,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > إيجار يومي سياحي > منزل مستقل,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > إيجار يومي سياحي > فيلا,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > سكني > إيجار يومي سياحي > شقق فندقية أو بنسيون,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الآلات والمعدات > معدات بناء وإنشاءات > قطع الغيار والملحقات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,الآلات والمعدات > معدات وآلات زراعية > الملحقات وقطع الغيار,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > تحف وأنتيكات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > كتب ومجلات وأفلام,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > ملابس وإكسسوارات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > كمبيوتر,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > أجهزة منزلية كهربائية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > أخرى,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > أغذية وأعلاف,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > مستلزمات الألعاب,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > هوايات وألعاب,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > ديكور المنزل,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > إلكترونيات منزلية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > هواتف وإكسسوارات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > الأم والطفل,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > مستلزمات المكتب والقرطاسية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > عناية شخصية ومستحضرات تجميل,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > تصوير وكاميرات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > رياضة,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > أجهزة تقنية,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,سلع جديدة ومستعملة > ساعات ومنبهات,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > أرض > للبيع,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > بناية > للبيع,السعر المكرر,السعر مكرر مرتين,السعر مرة واحدة فقط,حذف تكرار فلتر السعر
حذف فلتر,العقارات > تجاري > للبيع > جميع الأقسام الفرعية,السعر المكرر,السعر مكرر في فروع البيع التجاري,السعر مرة واحدة فقط,تطبيق التصحيح على كل الفروع التابعة للبيع التجاري
